Site,Community,County,Statute Mile,Riverbank,Latitude,Longitude,Cartop Launch,Trailered Launch,Campsite,Day Use Site,Kayak Storage Racks,Restroom/Privy,Picnicking/Grills,Dining/Restaurant,Retail/Supplies,Lodging,Bus Service,Train Service,Trail,Swimming,Fishing,Hunting,Trapping,Bird Watching,Golf,Concerts/events,Playground,Tour Boat Service,Natural & Cultural Resources,Historic Resources,Visitor-Nature Center/Museum,Location
Croton Point Park,Village of Croton-on-Hudson,Westchester,36.3,E,41.171667,-73.899167,,,C,DU,,Y,Y,Y,,,,Y,Y,Y,Y,,,Y,,,,,Y,Y,Y,"(41.171667, -73.899167)"
Malden-on-Hudson,Town of Saugerties,Ulster,103.5,W,42.098611,-73.931111,HL,TL,,DU,2,Y,Y,,,,,,,,Y,,,,,,,,,,,"(42.098611, -73.931111)"
Bard Rock  Vanderbilt Mansion NHS,Town of Hyde Park,Dutchess,80.5,E,41.804167,-73.944722,,,,DU,,Y,,,,,,,Y,,,,,,,,,,Y,Y,Y,"(41.804167, -73.944722)"
Schaghticoke Launch,Town of Schaghticoke,Rensselaer ,159,E,42.799444,-73.666111,HL,,,DU,,,,,,,,,,,Y,,,,,,,,,,,"(42.799444, -73.666111)"
Schodack Islands State Park HR Launch,Town of Schodack,Rensselaer ,135.8,E,42.500278,-73.776111,,TL,Z,DU,4,Y,Y,,,,,,Y,,Y,Y,,Y,,,,,Y,,,"(42.500278, -73.776111)"
Lock C-4,Town of Schaghticoke,Rensselaer ,169.5,W,42.931667,-73.656111,HL,,,DU,,,Y,,,,,,,,Y,,,,,,,,,,,"(42.931667, -73.656111)"
Reese Park & Boat Ramp,Village of Wappingers Falls,Dutchess,67.2,E,41.594167,-73.926111,HL,,,DU,2,Y,Y,,,,,,Y,,Y,,,,,,,,Y,Y,,"(41.594167, -73.926111)"
NYS Boat Launch,Village of Athens,Greene ,118.3,W,42.2725,-73.801944,HL,TL,,DU,2,,Y,Y,Y,Y,,,,,Y,,,,,,,,Y,Y,,"(42.2725, -73.801944)"
Gesner Avenue Park,Village of South Nyack,Rockland ,28.3,W,41.081111,-73.915833,HL,,,DU,,,Y,,,,,,,,Y,,,,,,,,Y,,,"(41.081111, -73.915833)"
Cortlandt Waterfront Park,Town of Cortlandt,Westchester,40.3,E,41.248333,-73.962778,HL,TL,,DU,,,Y,Y,Y,,Y,,Y,,Y,,,,,,Y,,Y,Y,,"(41.248333, -73.962778)"
Beczak Environmental Education Center,City of Yonkers,Westchester,18.4,E,40.938056,-73.902778,HL,,P,DU,,L,Y,Y,Y,,Y,Y,,,Y,,,Y,,,,,Y,Y,Y,"(40.938056, -73.902778)"
Hudson River Islands State Park Gays Point,Town of Stockport,Columbia ,123,E,42.335556,-73.781389,,,C,DU,,Y,Y,,,,,,Y,,Y,Y,,Y,,,,,Y,,,"(42.335556, -73.781389)"
Riverfront Park,City of Rensselaer,Rensselaer ,145.4,E,42.642222,-73.746667,HL,,,DU,,Y,,,,,,Y,,,,,,,,,,,,,,"(42.642222, -73.746667)"
Sojourner Truth Ulster Landing Park,Town of Ulster,Ulster,97,W,42.003333,-73.944444,HL,,,DU,,Y,Y,,,,,,Y,Y,Y,,,,,,,,Y,,,"(42.003333, -73.944444)"
Madison Street Boat Launch,City of Troy,Rensselaer ,153.7,E,42.719167,-73.698611,HL,,,DU,,,,,,,Y,,Y,,Y,,,,,,,,,,,"(42.719167, -73.698611)"
Schuyler Park,Village of Schuylerville,Saratoga ,183.2,W,43.101944,-73.575556,HL,TL,C,DU,,,,,,,,,,,Y,,,,,,,,,,,"(43.101944, -73.575556)"
NYS Boat Launch,City of Newburgh,Orange ,61,W,41.498056,-74.005556,HL,TL,,DU,,,,Y,,,,,,,Y,,,,,,,,Y,Y,,"(41.498056, -74.005556)"
Kingston Point Park,City of Kingston,Ulster,92.4,W,41.927222,-73.963333,HL,,,DU,2,,Y,,,,,,,Y,,,,,,,,,,,,"(41.927222, -73.963333)"
Mine Dock Park,Town of Highlands,Orange ,47,E,41.3275,-73.984167,HL,,,DU,2,,,,,,,,Y,,Y,,,,,,,,Y,Y,,"(41.3275, -73.984167)"
See Park at Stuyvesant Landing,Town of Stuyvesant,Columbia ,127.7,E,42.388611,-73.784722,HL,TL,,DU,,,,Y,,,,,,,,,,,,,,,Y,Y,,"(42.388611, -73.784722)"
Tina Chorvas Memorial Park Esopus Creek,Village of Saugerties,Ulster,101.8,W,42.071389,-73.945556,HL,,,DU,,Y,Y,,,,Y,,,,Y,,,,,,,,Y,Y,,"(42.071389, -73.945556)"
Peebles Island State Park,City of Cohoes,Albany ,157.8,W,42.785833,-73.68,HL,,Z,DU,2,Y,Y,,,,,,Y,,Y,,,,,,,,Y,Y,,"(42.785833, -73.68)"
79th Street Boat Basin,Borough of Manhattan,New York,6.3,E,40.786667,-73.985,HL,,,DU,,,,,,,,,,,,,,,,,,,,,,"(40.786667, -73.985)"
Little Stony Point in Hudson Highlands State Park,Town of Philipstown,Putnam ,55.4,E,41.427778,-73.968611,HL,,,DU,,Y,Y,,,,,,Y,,Y,,,,,,,,Y,Y,,"(41.427778, -73.968611)"
Echo Canoe Launch,Village of Croton-on-Hudson,Westchester,37.1,E,41.18483,-73.88,HL,TL,,DU,,Y,,,,,Y,Y,Y,,Y,,,,,,,,,,,"(41.18483, -73.88)"
Champlain Canal Lock C1,Town of Halfmoon,Saratoga ,161,W,42.825556,-73.665556,HL,TL,,DU,,Y,Y,,,,,,,,Y,,,,,,,,,,,"(42.825556, -73.665556)"
Bob Shepard Highland Landing Park Launch,Town of Lloyd,Ulster ,76.5,W,41.715556,-73.948333,HL,TL,,DU,2,Y,Y,Y,,,,,Y,,Y,,,Y,,,,,,,Y,"(41.715556, -73.948333)"
T.R. Gallo Park Rondout Creek,City of Kingston,Ulster,92,W,41.916944,-73.984722,HL,,,DU,2,Y,Y,Y,Y,Y,,,Y,,Y,,,,,Y,,Y,Y,Y,Y,"(41.916944, -73.984722)"
Oscawana Island,Town of Cortlandt,Westchester,39.1,E,41.226667,-73.924722,HL,,,DU,,,,,,,,,Y,,Y,,,,,,,,Y,,,"(41.226667, -73.924722)"
Hudson River Park,Pier 66 Borough of Manhattan,New York,3.7,E,40.752222,-74.009167,HL,,,DU,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,Y,,,Y,Y,,"(40.752222, -74.009167)"
Fort Montgomery State Historic Site Popolopen Creek,Town of Highlands,Orange ,46.6,W,41.323333,-73.988889,,,,DU,,Y,,,,,,,Y,,Y,,,,,,,,Y,Y,Y,"(41.323333, -73.988889)"
Horan’s Landing Park,Village of Sleepy Hollow,Westchester,27.6,E,41.080556,-73.868611,HL,,,DU,,,Y,,,,,,,,,,,,,,,,Y,,,"(41.080556, -73.868611)"
DeLaval Site Boat Launch,City of Poughkeepsie,Dutchess,75.8,E,41.694167,-73.939167,Z,Z,,Z,2,,,,,,,,,,,,,,,,,,,,,"(41.694167, -73.939167)"
North Bay Area,City of Hudson,Columbia ,117.8,E,42.27,-73.7825,Z,Z,,Z,,,Y,,,,Y,Y,,,,,,,,,,,Y,Y,,"(42.27, -73.7825)"
Hudson River Park,Pier 26 Borough of Manhattan,New York,1.5,E,40.721389,-74.0125,Z,,,Z,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,Y,,,Y,Y,,"(40.721389, -74.0125)"
Troy Motorboat and Canoe Club,City of Troy,Rensselaer ,157.8,E,42.782222,-73.675278,HL,,C,,2,,,,,,,,,,,,,,,,,,,,,"(42.782222, -73.675278)"
111th Street Launch,City of Troy,Rensselaer ,156.9,E,42.770278,-73.680556,HL,,,,,,,,Y,,,,,,,,,,,,,,,,,"(42.770278, -73.680556)"
Inwood Hill Park: Dykman Tubby Hook,Borough of Manhattan,New York,12.7,E,40.869444,-73.931944,HL,,,,,,,,,,,,,,,,,,,,,,,,,"(40.869444, -73.931944)"
West 70th Street,Borough of Manhattan,New York,5.8,E,40.781667,-73.988056,HL,,,,,,,,,,,,,,,,,,,,,,,,,"(40.781667, -73.988056)"
Schodack Islands State Park Schodack Creek Launch,Town of Schodack,Rensselaer ,135.8,E,42.503611,-73.768889,HL,,,,,,,,,,,,,,,,,,,,,,,,,"(42.503611, -73.768889)"
Village of Ft Edward Beach,Village of Fort Edward,Saratoga,195.8,W,43.266944,-73.590833,,,,,,,,,,,,,,,,,,,,,,,,,,"(43.266944, -73.590833)"
Waterfront Park,City of Hudson,Columbia ,117.3,E,42.256111,-73.797778,HL,TL,,,,,Y,,,,Y,Y,,,,,,,,,,Y,Y,Y,,"(42.256111, -73.797778)"
